Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,AFG,537777812,548888895,546666678,751111191,800000046,1006666638,1399999966,1673333419,1373333367,1408888923,1748886596,1831108972,1595555476,1733333265,2155555499,2366666616,2555555567,2953333419,3300000108,3697940345,3641723447,3478787910,,,,,,,,,,,,,,,,,,,,2461666315,4093797450,4589112904,5283562279,6269129359,7057055309,8720455003,10617347740,12244505992,15712654583,19176772040
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,1924242456,1965384581,2173750016,2156624896,2126000000,2335124992,2101624960,1139166679,709452573,1228071037,1985673026,2424498953,3013217853,2196223714,2727745453,3434402453,3686649387,4091020249,4449373456,5652325082,7464446950,8376483740,9132562332,10704660840,12968653525,12118583126,11858216877,12959563902
Algeria,DZA,2723637620,2434766866,2001460839,2703004010,2909340115,3136284385,3039859268,3370870461,3852147113,4257253358,4863487557,5077222330,6761786484,8715106129,13209713770,15557934473,17728348385,20971901063,26364491675,33243421339,42345276288,44348670724,45207090668,48801372228,53698280323,57937867717,63696299985,66742269090,59089065517,55631488294,62045098370,45715368144,48003297249,49946456681,42542573602,41764054035,46941496308,48177861891,48187780126,48640613515,54790058957,55180990396,57053038888,68018606041,85013944728,102339100115,117169320524,135803556325,170989269622,138119949895,161979441019,188681099191
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,78617570,89406660,113414332,150841699,186557164,220112851,227284166,253998069,308020384,411548247,446377495,388983014,375914743,327849949,330073025,346742902,481996233,611300198,721426027,795489398,1028989439,1106890943,1209992604,1007090896,1017544619,1178745262,1224023470,1180646037,1211953954,1239840266,1133644295,1264760246,1456198796,1917948475,2322163502,2539759286,2823503853,3245411584,3712034267,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,6804278063,6355849179,7383121654,7975234068,9283054576,10260193361,12193746625,5779394292,5285600050,4059577145,5039534776,7526446606,4459470785,907212673,1710166273,4155711074,4528138392,6670024587,12463592985,18954402780,30619435417,43784512970,61796534508,79620700694,65161070140,80856694812,104331613337
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,66144443,74855554,92240739,110066665,124462955,137951855,153270374,173511108,201862965,245896292,286474069,338696290,373403703,391570363,410388899,423762955,456537023,500088880,494185188,541074082,579851830,620037014,651851840,787693391,778311557,806505874,849234754,905113767,1001970945,1141418340,1295824296,1354616665,1214286802,1153788954,1118317379
Argentina,ARG,,,24450604878,18272123664,25605249382,28344705968,28630474726,24256667555,26436857248,31256284545,31584210365,33293199095,34733000536,52544000117,72436777342,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,103979106778,79092001998,88416668900,110934442763,111106191358,126206817196,76636898036,141352368715,189719989668,228779382768,236753563470,257439956992,258031878144,272149757952,292858888192,298948362240,283523022848,284203745280,268696715264,102040334259,129597103034,153129481873,183193408941,214066231202,260768703249,326582808527,307155148184,368736062144,446044143596
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858,2068526522,1272577522,1201313196,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900436759,6384457744,9206277479,11662017845,8648015305,9371175470,10247788877
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872067022,958659238,1083240282,1245810154,1320670419,1379888369,1531843680,1665363128,1722905065,1858659293,1898882758,1911173189,,,,,,,,,
